Date,Item Name,Supplier,Quantity,Unit Price,Storage Location
2026-01-15,  Mono Solar Panel 450W,Araw Energy Solutions,20,8500,Warehouse A
2026-01-16,Lithium Battery 100Ah , Bicol Power Grid,10,15000, warehouse b
2026-01-17,solar charge controller,albaysolar tech,15,2200,Warehouse A
2026-01-18,  mounting rails 2m,Araw Energy Solutions,50,1200,WAREHOUSE C
2026-01-19,MC4 Connectors (Pair),Bicol Power Grid ,100,150,Warehouse A
2026-01-20,Inverter 3kW Hybrid,  ALBAYSOLAR TECH,5,35000,warehouse b
2026-01-21,DC Cable 6mm (Red),Araw Energy Solutions,200,85,Warehouse C
2026-01-22,  mono solar panel 450w,Bicol Power Grid,10,8500,Warehouse A
2026-01-23,Grounding Lug,albaysolar tech ,50,75,WAREHOUSE B
2026-01-24,Circuit Breaker 32A DC,Araw Energy Solutions ,30,450,Warehouse A
2026-01-25,  LITHIUM BATTERY 100AH,Bicol Power Grid,5,15000,Warehouse B
2026-01-26,Deep Cycle Battery 200Ah,ALBAYSOLAR TECH,8,12000,warehouse c
2026-01-27,Solar Cable 4mm (Black) , Araw Energy Solutions,150,65,Warehouse A
2026-01-28,  Inverter 5kW Off-grid,Bicol Power Grid,3,48000,Warehouse B
2026-01-29,PV Combiner Box,  albaysolar tech,12,4500,WAREHOUSE A
2026-01-30,Roof Hooks (Tile) ,Araw Energy Solutions,80,350,Warehouse C
2026-02-01,  mono solar panel 550w,Bicol Power Grid,25,9200,Warehouse A
2026-02-02,Lithium Battery 200Ah,ALBAYSOLAR TECH ,6,28000,warehouse b
2026-02-03,Smart Meter,Araw Energy Solutions,10,3200,Warehouse A
2026-02-04,  DC Isolator Switch, Bicol Power Grid,20,1100,WAREHOUSE C
2026-02-05,Battery Rack 4-Tier,albaysolar tech,4,5500,Warehouse B
2026-02-06,solar cable 6mm (blue),Araw Energy Solutions ,100,90,Warehouse A
2026-02-07,  Inverter 10kW On-grid,Bicol Power Grid,2,75000,warehouse a
2026-02-08,MC4 T-Branch Connectors,ALBAYSOLAR TECH,40,250,Warehouse C
2026-02-09,Aluminum Mid-Clamps , Araw Energy Solutions,200,45,Warehouse A
2026-02-10,  end-clamps 35mm,Bicol Power Grid,200,45,WAREHOUSE B
2026-02-11,Surge Protection Device,albaysolar tech,15,1800,Warehouse A
2026-02-12,Mono Solar Panel 400W ,Araw Energy Solutions,30,7800,warehouse c
2026-02-13,  Hybrid Inverter 5kW,Bicol Power Grid ,8,42000,Warehouse B
2026-02-14,Lithium Wall Battery,ALBAYSOLAR TECH,2,95000,Warehouse A
2026-02-15,DC Breaker 63A,  Araw Energy Solutions,25,600,WAREHOUSE A
2026-02-16,Solar Rail Splice,Bicol Power Grid,60,180,Warehouse C
2026-02-17,  flexible conduit 20mm,albaysolar tech,10,850,warehouse b
2026-02-18,WiFi Monitoring Dongle,Araw Energy Solutions,12,1500,Warehouse A
2026-02-19,Grounding Rod 1.5m , Bicol Power Grid,20,1200,Warehouse A
2026-02-20,  MONO SOLAR PANEL 450W,ALBAYSOLAR TECH,15,8500,WAREHOUSE C
2026-02-21,Battery Cable 25mm,Araw Energy Solutions,40,450,Warehouse B
2026-02-22,Solar Warning Labels,  Bicol Power Grid,100,15,Warehouse A
2026-02-23,  Inverter 2kW Portable,albaysolar tech,5,18000,warehouse b
2026-02-24,Roof Sealing Tape,Araw Energy Solutions,20,950,Warehouse C
2026-02-25,MC4 Crimping Tool,Bicol Power Grid ,10,2500,Warehouse A
2026-02-26,  Poly Solar Panel 300W,ALBAYSOLAR TECH,12,5500,WAREHOUSE B
2026-02-27,Charge Controller 60A,Araw Energy Solutions,18,3500,Warehouse A
2026-02-28,AC Circuit Breaker 20A, Bicol Power Grid,40,350,warehouse c
2026-03-01,  Solar Flood Light 100W,albaysolar tech,50,1200,Warehouse B
2026-03-02,Battery Busbar,Araw Energy Solutions,24,850,Warehouse A
2026-03-03,PV Wire 10AWG (50ft),  Bicol Power Grid,15,2200,WAREHOUSE A
2026-03-04,  mounting l-feet,ALBAYSOLAR TECH,150,120,Warehouse C
2026-03-05,Solar Attic Fan,Araw Energy Solutions,4,8500,warehouse b
2026-03-06,Inverter 1kW Sine Wave,Bicol Power Grid ,6,12000,Warehouse A
